,,ID,DATE ,VENTES P1 ,DEMANDE P1,VENTES P2,DEMANDE P2,VENTES P3,DEMANDE P3,VENTES P4,DEMANDE P4
,,640,01/10/2021,"470,98","517,017518112958","1300,18","1102,75237370548",1289,"1551,03886397608","220,5","112,0875"
,,641,02/10/2021,"445,02","488,519970934283","1360,32","1153,76033241477",1448,"1742,36173393124","247,5","125,8125"
,,642,03/10/2021,0,0,"138,02","117,06216263812",137,"164,850523168909","28,5","14,4875"
,,643,04/10/2021,"307,4","337,44784294009","1436,98","1218,77978892715",1551,"1866,30044843049","423,5","215,279166666667"
,,644,05/10/2021,"554,46","608,657550411718","1469,8","1246,61619073691",1093,"1315,19431988042","285,5","145,129166666667"
,,645,06/10/2021,"639,18","701,658790665083","1506,32","1277,59076094082",1424,"1713,48281016443",269,"136,741666666667"
,,646,07/10/2021,"692,22","759,88336317498","1390,22","1179,12012565401",1170,"1407,84753363229","280,5","142,5875"
,,647,08/10/2021,"638,82","701,263601258907","1553,16","1317,31827650357","1342,5","1615,41479820628","289,5","147,1625"
,,648,09/10/2021,"728,58","799,797493198733","1642,5","1393,09232091807",1407,"1693,0269058296","249,5","126,829166666667"
,,649,10/10/2021,"401,32","440,548368017946","565,62","479,73265056784",428,"515,007473841555",0,0
,,650,11/10/2021,"809,54","888,671199654262","1169,06","991,542471045648","1277,5","1537,20104633782","558,5","283,904166666667"
,,651,12/10/2021,"949,36","1042,15837401953","1527,18","1295,28324545489","1559,5","1876,52840059791",381,"193,675"
,,652,13/10/2021,"809,74","888,890749324359","1309,84","1110,94553767508","1613,5","1941,50597907324","377,5","191,895833333334"
,,653,14/10/2021,555,"609,250334520981","1505,96","1277,28542563761","1350,5","1625,04110612855",337,"171,308333333334"
,,654,15/10/2021,"921,02","1011,04818576669","1341,04","1137,40793062037","1435,5","1727,32062780269",281,"142,841666666667"
,,655,16/10/2021,"419,3","460,285883359725","1396,96","1184,83668105309","1084,5","1304,96636771301","221,5","112,595833333333"
,,656,17/10/2021,0,0,0,0,467,"561,935724962631",0,0
,,657,18/10/2021,"532,1","584,1118972948","1089,44","924,012479817948","1461,5","1758,60612855008",379,"192,658333333334"
,,658,19/10/2021,0,0,0,0,0,0,0,0
,,659,20/10/2021,"55,42","60,8372135840591","83,06","70,4476396806421",56,"67,3841554559044",0,0
,,660,21/10/2021,"1168,6","1282,82872238057","755,52","640,79702301371","1640,5","1973,99476831091",358,"181,983333333334"
,,661,22/10/2021,"638,16","700,539087347584","390,9","331,543250074199","1286,5","1548,03064275037",251,"127,591666666667"
,,662,23/10/2021,"389,92","428,03403682238","752,06","637,862411488366","876,5","1054,68236173393","209,5","106,495833333333"
,,663,24/10/2021,0,0,0,0,"354,5","426,56576980568","27,5","13,9791666666667"
,,664,25/10/2021,"449,82","493,789163016627","720,3","610,92505251585",1185,"1425,89686098655","360,5","183,254166666667"
,,665,26/10/2021,"361,392","396,717471879651","914,224","775,402395128767","1050,5","1264,05455904335","208,5","105,9875"
,,666,27/10/2021,"304,52","334,286327690683","886,5","751,888184166738",1409,"1695,43348281017",130,"66,0833333333334"
,,667,28/10/2021,"448,56","492,406000095011","686,3","582,087829434441",1009,"1214,11808669656",316,"160,633333333333"
,,668,29/10/2021,"252,44","277,115593597255","922,74","782,62527135704",1119,"1346,4798206278","233,5","118,695833333333"
,,669,30/10/2021,"219,76","241,241177503299","978,08","829,562092690133","589,5","709,338565022422","333,5","169,529166666667"
,,670,31/10/2021,0,0,0,0,534,"642,556053811659","54,5","27,7041666666667"
,,671,01/11/2021,"303,34","332,990984637107","1028,22","872,088515199011",1047,"1259,84304932735","264,5","134,454166666667"
,,672,02/11/2021,"330,14","362,410640430192","1164,36","987,556149031452",1169,"1406,644245142","297,5","151,229166666667"
,,673,03/11/2021,"277,18","304,273887788334","1056,62","896,176078008188","1070,5","1288,12032884903",232,"117,933333333333"
,,674,04/11/2021,"335,4","368,184796753761","940,62","797,790258083381",976,"1174,40956651719",423,"215,025"
